ensembl_id	no_na	mean	median	sd	lowerq	upperq	min	max
ENSG00000206805	101	5.396039603960396	3	6.852852264452798	2	5	1	42
ENSG00000121073	101	6.445544554455446	4	6.8271154194502275	2	7	1	31
ENSG00000250751	101	6.445544554455446	4	6.8271154194502275	2	7	1	31
ENSG00000120094	101	5.514851485148514	3	6.825853589678201	2	5	1	42
ENSG00000173917	101	5.514851485148514	3	6.825853589678201	2	5	1	42
ENSG00000230148	101	5.514851485148514	3	6.825853589678201	2	5	1	42
ENSG00000120093	101	5.514851485148514	3	6.825853589678201	2	5	1	42
ENSG00000233101	101	5.514851485148514	3	6.825853589678201	2	5	1	42
ENSG00000239552	101	5.514851485148514	3	6.825853589678201	2	5	1	42
ENSG00000273500	101	6.683168316831683	4	6.8131207138422365	2	8	1	31
ENSG00000079950	101	3.712871287128713	3	6.794610560824463	2	4	1	69
ENSG00000079931	101	3.742574257425743	3	6.790660447035376	2	4	1	69
ENSG00000108406	101	6.574257425742574	4	6.788735573954056	2	7	1	39
ENSG00000273702	101	6.574257425742574	4	6.788735573954056	2	7	1	39
ENSG00000141367	101	6.574257425742574	4	6.788735573954056	2	7	1	39
ENSG00000223912	101	3.712871287128713	3	6.7828263042235815	2	4	1	69
ENSG00000236166	101	3.762376237623762	3	6.781074420549424	2	4	1	69
ENSG00000265669	101	3.762376237623762	3	6.781074420549424	2	4	1	69
ENSG00000280155	101	3.762376237623762	3	6.781074420549424	2	4	1	69
ENSG00000228495	101	3.722772277227723	3	6.779555755182176	2	4	1	69
ENSG00000136504	101	6.336633663366337	4	6.754668352662138	2	7	1	31
ENSG00000262837	101	6.336633663366337	4	6.754668352662138	2	7	1	31
ENSG00000176358	101	6.336633663366337	4	6.754668352662138	2	7	1	31
ENSG00000079819	101	3.762376237623762	3	6.754477796027588	2	4	1	69
ENSG00000118507	101	3.742574257425743	3	6.753744835787823	2	4	1	69
ENSG00000218857	101	3.742574257425743	3	6.753744835787823	2	4	1	69
ENSG00000121104	101	6.366336633663367	4	6.7494040807722095	2	7	1	31
ENSG00000219776	101	3.6930693069306932	3	6.746469557120117	2	4	1	69
ENSG00000118520	101	3.6930693069306932	3	6.746469557120117	2	4	1	69
ENSG00000112282	101	3.6930693069306932	3	6.746469557120117	2	4	1	69
ENSG00000154269	101	3.6930693069306932	3	6.746469557120117	2	4	1	69
ENSG00000252560	101	3.6930693069306932	3	6.746469557120117	2	4	1	69
ENSG00000180658	101	3.6930693069306932	3	6.746469557120117	2	4	1	69
ENSG00000236761	101	3.6930693069306932	3	6.746469557120117	2	4	1	69
ENSG00000267315	101	3.3564356435643563	2	6.744752268861832	1	4	1	67
ENSG00000216917	101	3.712871287128713	3	6.7443852702279194	2	4	1	69
ENSG00000266807	101	3.712871287128713	3	6.7443852702279194	2	4	1	69
ENSG00000197594	101	3.712871287128713	3	6.7443852702279194	2	4	1	69
ENSG00000219532	101	3.712871287128713	3	6.7443852702279194	2	4	1	69
